id,nom,ylat,xlong,coord_x,coord_y,date_comptage,nb_places,nb_places_disponibles,nb_pr,nb_pr_dispo,nb_pmr,nb_pmr_dispo,nb_voitures_electriques,nb_voitures_electriques_dispo,nb_velo,nb_velo_dispo,nb_2r_el,nb_2r_el_dispo,nb_autopartage,nb_autopartage_dispo,nb_2_rm,nb_2_rm_dispo
17300-P-002,Jean Moulin,46.1536174,-1.1406937,380580.5139231,6569910.0649748,2025-12-05T15:05:39,450,118,0.0,0.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-003,Encan 1,46.151382,-1.1498269,379863.5735076,6569699.1510457,2025-12-05T15:05:38,420,292,0.0,0.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-004,Vieux-Port Ouest,46.1555279,-1.1565183,379372.0687783,6570186.0800783,2025-12-05T15:05:34,420,177,0.0,0.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-005,Verdun (surface),46.1627085,-1.1541917,379593.305089,6570972.9393708,2025-12-05T15:05:20,71,0,0.0,0.0,3,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-007,Verdun,46.1625275,-1.1533092,379660.253088,6570949.2933682,2025-12-05T15:05:38,557,1,0.0,0.0,12,0.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-008,Vieux-Port Sud,46.154343,-1.149352,379917.443672,6570025.5971763,2025-12-05T15:05:40,610,302,0.0,0.0,15,0.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,,,,,,2025-12-05T15:05:38,,16,,,,,,,,,,,,,,
17300-P-010,Maubec,46.1577984,-1.143707,380372.6277839,6570385.9342695,2025-12-05T15:05:40,209,8,0.0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-011,Aire de camping-car de Port-Neuf,46.1605732,-1.1858739,377139.4208522,6570865.1977914,2025-12-05T15:05:40,172,141,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-012,Les Salines,46.1551465,-1.13871,380742.2942107,6570071.6170207,2025-12-05T15:05:41,1105,56,0.0,0.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-013,Cacaud,46.1634896,-1.1470762,380146.160736,6571030.7132815,2025-12-05T15:05:35,70,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17300-P-014,Encan 2,46.1491434,-1.150546,379795.0839494,6569453.8157719,2025-12-05T15:05:08,130,95,0.0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
